Group,auc,auc_roc,auc_pr,accuracy,balanced_accuracy,matthews_corrcoef,precision,recall,f1,n_samples,positive_rate
Overall,0.999226345809577,0.999226345809577,0.9901414178906863,0.986984107380293,0.9897378815989584,0.9144588145612923,0.8543253270845538,0.9929685587770632,0.9184442121034997,3044432,0.0738085133778649
Sex: 1,0.9993492209660175,0.9993492209660175,0.9904255764253669,0.9885978945879774,0.9908162108493774,0.9143263883532674,0.8520920348794607,0.9933582487987186,0.9173182925265991,1470781,0.06367365365747858
Sex: 2,0.999108464642557,0.999108464642557,0.9899295188373348,0.9854758138875773,0.9887552564547242,0.9143420308329127,0.8559294713641896,0.9926900919461294,0.919251015721604,1573651,0.08328085452238139
Age: 40-60,0.9991715193705872,0.9991715193705872,0.9885830609121912,0.987128313847732,0.9891799026758519,0.9086445818853294,0.844515361992366,0.9915510755848125,0.9121457681416049,1009891,0.0673894509407451
Age: <40,0.9995070536645954,0.9995070536645954,0.9877858586649713,0.9922449505085464,0.9915972614804542,0.9067328345900648,0.8365823771861424,0.990895896556274,0.9072239671418217,396129,0.03826531256232187
Age: >60,0.9991798359041189,0.9991798359041189,0.991059643253512,0.9856232742435969,0.98935797865827,0.9177000124100929,0.8610757323405506,0.993872401778205,0.922720576897209,1638412,0.08635862042026059
